co,no,no2,o3,so2,pm2_5,pm10,nh3,hri_actual,timestamp
496.88,0.33,3.7,151.35,23.88,128.71,147.14,0,785.76,2026-01-26 07:22
466.59,0.11,1.73,179.79,18.69,143.21,160.01,0,787.35,2026-01-26 09:41
466.59,0.11,1.73,179.79,18.69,143.21,160.01,0,787.35,2026-01-26 09:59
407.64,0.04,1.64,174.86,14.05,130.17,146.34,0,701.29,2026-01-26 11:43
217.83,0.09,1.25,115.21,4.88,48.48,64.09,0,338.78,2026-01-27 06:04
200.29,0.08,0.82,116.54,4.03,43.12,59.07,0,310.7,2026-01-27 06:58
185.86,0.05,0.47,116.74,3.18,38.47,54.82,0,287.03,2026-01-27 07:47
177.51,0.03,0.32,115.72,2.67,35.49,52.47,0,272.76,2026-01-27 08:55
174.77,0.03,0.28,114.6,2.35,33.81,51.76,0,266.87,2026-01-27 09:54
176.02,0.02,0.31,113.69,2.16,33.4,52.52,0,267.64,2026-01-27 10:53
180.82,0.02,0.42,113.23,2.08,34.41,54.87,0,274.97,2026-01-27 11:43
191.68,0,0.63,116.5,1.96,36.03,57.56,0,290.06,2026-01-27 13:26
207.41,0,0.93,119.57,2.4,39.28,64.38,0,314.29,2026-01-27 14:56
210.58,0,0.97,119.64,2.56,39.68,66.47,0,318.97,2026-01-27 15:49
212.59,0,0.98,119.59,2.68,39.52,67.44,0,321.1,2026-01-27 16:55
213,0,1,119.01,2.78,39.02,67.53,0,320.67,2026-01-27 17:52
211.75,0,1,118.01,2.84,38.06,66.54,0.02,317.34,2026-01-27 19:02
210.45,0,1.03,116.99,2.99,37.1,65.31,0.05,313.87,2026-01-27 19:46
210.94,0,1.12,116.2,3.29,36.66,64.69,0.09,313.32,2026-01-27 20:45
214.12,0,1.2,117.1,3.68,37.24,65.92,0.12,318.09,2026-01-27 21:40
219.1,0,1.29,118.85,4.2,38.8,68.88,0.13,327.04,2026-01-27 22:44
226.94,0,1.46,120.68,5.1,41.08,72.88,0.14,340.47,2026-01-27 23:42
246.95,0.06,3.36,118.72,9.07,44.64,74.81,0.08,367.37,2026-01-28 02:35
254.52,0.36,4.56,116.45,12.39,46.16,74.82,0.02,377.48,2026-01-28 04:29
303.97,0.78,5.64,131.2,20.95,60.15,93.87,0,459.55,2026-01-28 05:50
326.88,0.57,4.48,148.36,22.1,70.71,108.94,0,507.53,2026-01-28 06:59
326.88,0.57,4.48,148.36,22.1,70.71,108.94,0,507.53,2026-01-28 07:15
349.21,0.34,3.21,166.33,22.12,82.63,126.2,0,558.05,2026-01-28 07:33
349.21,0.34,3.21,166.33,22.12,82.63,126.2,0,558.05,2026-01-28 07:45
359.72,0.21,2.33,180.27,21.19,89.88,136.99,0,586.24,2026-01-28 08:56
358.98,0.15,2.02,189.83,19.92,91.9,141.64,0.02,591.91,2026-01-28 09:54
352.72,0.13,2.14,193.53,18.77,90.25,141.39,0.1,583.51,2026-01-28 10:53
346.46,0.09,2.72,191.89,18.17,86.84,137.43,0.17,570.18,2026-01-28 11:42
384.8,0.02,3.75,199.45,20.08,97.2,149.93,0.14,631.62,2026-01-28 13:27
424.09,0,3.35,185.41,21.06,98,152.2,0.24,670.84,2026-01-28 14:55
436.88,0,3.27,178.41,21.16,97.37,150.65,0.31,680.92,2026-01-28 15:56
440.33,0,3.42,170.76,21.03,93.45,144,0.41,674.35,2026-01-28 17:04
431.71,0,3.7,161.59,20.97,86.29,133.18,0.53,648.67,2026-01-28 17:54
420.26,0,3.95,152.58,21.4,78.13,121.58,0.71,618.27,2026-01-28 18:59
415.23,0,4.1,144.65,21.62,72.3,113.08,0.88,599.38,2026-01-28 19:49
412.68,0,4.2,138.24,21.8,68.78,107.22,1.02,587.93,2026-01-28 20:54
406.62,0,4.24,133.52,21.69,66.23,102.27,1.09,575.11,2026-01-28 21:51
401.66,0,4.23,128.96,21.44,64.64,99.02,1.13,565.62,2026-01-28 22:52
402.74,0,4.3,123.64,21.62,64.3,97.89,1.19,564.93,2026-01-28 23:46
444.19,0.06,6.54,102.65,22.67,66.14,99.23,1.46,607.56,2026-01-29 03:09
473.99,0.96,8.27,106.67,23.93,71.51,103.16,1.45,648.77,2026-01-29 04:52
486.66,0.97,7.8,124.46,24.76,79.8,110.89,1.33,680.29,2026-01-29 06:04
494.78,0.66,6.13,150.29,24.85,92.92,123.78,1.01,717.81,2026-01-29 07:11
499.79,0.37,4.24,175.31,23.83,107.23,137.92,0.68,754.41,2026-01-29 07:58
500.53,0.22,3.04,194.03,22.68,118.42,148.47,0.34,779.63,2026-01-29 09:04
492.32,0.15,2.48,204.63,21.2,123.69,152.53,0.03,782.86,2026-01-29 10:03
471.63,0.11,2.31,205.46,18.66,122.25,149.59,0,758.75,2026-01-29 11:03
471.63,0.11,2.31,205.46,18.66,122.25,149.59,0,758.75,2026-01-29 11:21
443.18,0.06,2.34,199.93,16,116.72,143.16,0,718.06,2026-01-29 11:50
421.43,0,1.71,185.32,12.55,107.44,133.29,0,675.09,2026-01-29 13:37
407.56,0,1.34,180.44,11.15,103.46,129.46,0,652.45,2026-01-29 15:03
400.73,0,1.23,176.3,10.14,100.74,126.51,0,639.42,2026-01-29 15:59
399.52,0,1.21,173.2,9.72,99.68,124.64,0,635.3,2026-01-29 17:04
407.18,0,1.25,170.41,9.86,100.37,124.5,0,643.6,2026-01-29 17:59
423.53,0,1.33,167.23,10.48,102.94,126.28,0,664.33,2026-01-29 19:08
449.61,0,1.44,163.21,11.35,107.49,130.6,0,698.86,2026-01-29 19:50
484.88,0,1.58,159.51,12.85,113.76,136.61,0,746.06,2026-01-29 20:52
521.65,0,1.72,155.83,14.83,120.49,142.97,0,795.64,2026-01-29 21:49
545.04,0,1.75,152.34,16.28,125.44,147.32,0,828.18,2026-01-29 22:52
554.96,0,1.69,149.76,16.88,128.32,150.11,0,843.41,2026-01-29 23:46
547.85,0,1.65,145.69,16.63,131,151.18,0,840.39,2026-01-30 03:10
516.71,0.09,1.9,148.75,14.68,128.89,148.22,0,805.25,2026-01-30 04:54
492.54,0.11,1.67,155.28,13.38,128.13,146.9,0,780.23,2026-01-30 06:06
457.49,0.09,1.26,163.09,11.58,125.9,143.96,0,741.45,2026-01-30 07:12
425.09,0.07,0.95,168.22,9.56,123.4,140.83,0,704.45,2026-01-30 07:57
399.48,0.05,0.78,171.51,8.01,121.31,138.26,0,674.9,2026-01-30 09:04
378.7,0.04,0.71,173.67,6.81,117.75,134.29,0,647.13,2026-01-30 10:00
